"","PlusMinus","Turnovers"
"10117",19,2
"1127",28,4
"147",-18,2
"232",21,1
"332",13,1
"432",7,1
"532",10,0
"732",15,2
"832",11,0
"932",1,0
"1029",14,3
"1128",6,0
"1217",-5,0
"2122",-12,2
"3122",-9,2
"4122",-5,5
"5122",-5,1
"7122",-8,1
"8122",-3,1
"9122",-4,1
"10118",-25,4
"11110",-4,1
"148",-20,2
"233",-25,2
"333",-25,2
"433",-30,5
"533",-22,1
"733",5,0
"833",-7,3
"933",-12,0
"1030",-10,1
"1129",-12,2
"1218",-2,2
"1310",20,0
"2123",30,3
"3123",26,2
"4123",10,2
"5123",22,3
"7123",11,3
"8123",5,2
"9123",-4,0
"10119",30,2
"11111",10,2
"149",-8,2
"234",-9,1
"334",-13,2
"434",-13,3
"534",-19,4
"734",-8,2
"834",-10,0
"934",-14,1
"1031",-21,2
"1130",15,0
"2124",11,1
"3124",19,4
"4124",15,8
"5124",4,0
"7124",14,2
"8124",4,0
"9124",16,1
"10120",17,0
"150",8,2
"235",12,2
"335",12,2
"435",10,0
"535",7,2
"735",8,2
"835",8,3
"935",0,0
"1032",6,1
"1131",9,0
"1219",-7,1
"2125",-20,2
"3125",-6,2
"4125",-25,4
"5125",-2,2
"7125",-8,0
"8125",2,0
"9125",-11,5
"10121",-5,1
"11112",2,0
"152",8,2
"236",11,0
"336",-4,1
"436",11,4
"536",12,2
"736",-8,0
"836",14,2
"936",-9,1
"1132",-12,2
"2126",-14,2
"3126",-14,5
"4126",-7,1
"5126",-12,5
"7126",6,1
"8126",5,1
"9126",4,2
"1033",9,0
"153",-9,3
"237",-5,1
"337",-20,1
"437",-16,0
"537",-10,5
"737",4,4
"837",9,1
"937",7,2
"1220",16,0
"2127",12,2
"3127",8,5
"4127",15,1
"5127",3,6
"7127",-3,1
"8127",-8,1
"9127",-1,0
"1034",5,0
"1133",-7,0
"154",8,3
"238",-22,1
"338",-6,1
"438",-28,1
"538",-2,6
"738",8,3
"838",-12,1
"938",-11,1
"1035",15,0
"1221",11,1
"2128",10,2
"3128",18,0
"4128",9,2
"5128",4,1
"7128",-5,3
"8128",4,1
"9128",-2,1
"10122",8,5
"1134",-7,0
"155",-22,2
"239",-21,4
"339",-10,0
"439",-7,1
"539",-19,5
"739",5,1
"839",-1,0
"939",-4,1
"1036",-5,2
"1135",4,1
"1222",18,0
"2129",13,0
"3129",1,2
"4129",21,3
"5129",9,2
"7129",-7,0
"8129",0,0
"9129",16,4
"10123",-6,0
"11113",15,1
"156",-18,5
"240",-25,0
"340",-29,0
"440",-16,1
"540",-19,4
"740",-2,2
"840",-3,3
"940",-4,0
"1037",5,0
"1136",3,0
"1223",3,0
"1311",21,0
"2130",24,2
"3130",26,1
"4130",21,1
"5130",17,2
"7130",-6,2
"8130",-5,0
"9130",3,1
"10124",4,1
"157",-16,2
"241",-5,0
"341",-15,2
"441",-12,6
"541",-3,2
"741",8,0
"841",5,2
"941",2,2
"1038",-4,0
"1137",0,0
"1224",5,0
"2131",8,1
"3131",19,1
"4131",12,2
"5131",15,4
"7131",-4,2
"8131",-11,0
"9131",0,2
"10125",-4,1
"158",-6,5
"242",-3,2
"342",-8,2
"442",-6,1
"542",-4,5
"742",-6,0
"842",0,0
"942",-7,4
"1225",13,0
"2132",1,2
"3132",9,2
"4132",4,1
"5132",9,3
"7132",-5,1
"8132",0,0
"9132",-1,0
"1039",2,4
"1138",8,0
"159",11,3
"243",19,0
"343",19,2
"443",-8,2
"543",19,0
"743",-1,0
"843",-4,0
"943",-5,5
"1040",1,1
"1139",19,2
"1226",-13,2
"2133",-13,2
"3133",-13,1
"4133",-16,3
"5133",-12,2
"7133",1,2
"8133",0,0
"9133",-4,2
"10126",-5,0
"11114",5,2
"160",0,0
"244",-7,3
"344",-6,2
"444",0,1
"544",-5,5
"744",-2,2
"844",-3,0
"944",-7,0
"1041",-15,3
"1312",7,3
"2134",3,1
"3134",3,0
"4134",7,0
"5134",11,4
"7134",8,1
"8134",0,1
"9134",-1,0
"10127",-4,2
"1140",10,1
"1227",1,1
"162",-2,5
"245",-8,3
"345",-14,0
"445",-17,0
"545",-12,0
"745",6,2
"845",1,0
"945",9,1
"1042",9,1
"1141",8,3
"1228",5,1
"2135",8,2
"3135",21,3
"4135",-3,0
"5135",7,1
"7135",1,1
"8135",-1,3
"9135",-5,2
"10128",-13,2
"163",12,2
"246",14,2
"346",-2,1
"446",13,2
"546",16,1
"746",18,1
"846",-3,0
"946",-3,1
"1043",9,0
"1142",6,0
"1313",-5,0
"2136",-9,0
"3136",-15,2
"4136",-2,3
"5136",-10,1
"7136",-2,1
"8136",-5,2
"9136",-10,3
"10129",-7,0
"11115",-16,1
"1229",1,1
"164",-17,2
"247",-5,1
"347",-12,3
"447",-15,0
"547",-27,1
"747",-1,1
"847",-1,0
"947",-5,2
"1044",-15,1
"1143",-13,2
"1230",6,0
"1314",12,2
"2137",17,2
"3137",21,1
"4137",14,0
"5137",19,3
"7137",4,2
"8137",3,2
"9137",-7,1
"10130",16,0
"11116",6,1
"165",16,1
"248",30,3
"348",16,3
"448",27,0
"548",17,3
"748",6,3
"848",4,3
"948",-7,1
"1045",3,0
"1144",-4,1
"1231",7,2
"1315",-9,1
"2138",-14,1
"3138",-21,0
"4138",-28,5
"5138",-15,2
"7138",-12,2
"8138",2,2
"9138",-18,1
"10131",-4,1
"11117",4,0
"166",12,2
"249",19,3
"349",14,1
"449",12,2
"549",12,0
"749",-7,1
"849",-3,1
"949",-10,0
"1046",-4,0
"1145",-8,0
"1232",-4,1
"1316",-3,0
"14",-4,2
"2139",-4,1
"3139",-14,4
"4139",-1,1
"5139",-12,2
"7139",-2,2
"8139",8,1
"9139",0,0
"10132",-1,5
"167",-5,3
"250",-2,2
"350",-7,1
"450",-1,2
"550",1,5
"750",-2,0
"850",-6,0
"950",-2,1
"1047",-14,2
"1146",-12,4
"1233",9,0
"2140",4,2
"3140",7,3
"4140",6,2
"5140",8,0
"7140",2,1
"8140",3,0
"9140",8,3
"10133",3,1
"168",-11,1
"251",-5,0
"351",0,0
"451",6,3
"551",2,2
"751",-2,0
"851",-10,0
"951",-8,0
"1048",-18,2
"1147",-4,0
"1234",11,2
"2141",-11,0
"3141",-2,1
"4141",11,1
"5141",5,1
"7141",11,0
"8141",21,0
"9141",4,1
"169",-17,2
"252",-2,2
"352",-11,1
"452",-25,1
"552",-9,0
"752",7,1
"852",1,1
"952",2,2
"1049",4,0
"1235",14,2
"2142",5,0
"3142",12,2
"4142",21,2
"5142",-2,1
"7142",5,2
"8142",0,0
"9142",-2,2
"10134",0,1
"1148",-3,0
"170",11,0
"253",12,3
"353",20,0
"453",16,0
"553",11,1
"753",13,1
"853",-4,1
"953",-2,0
"1050",-2,0
"1149",5,2
"1236",-17,1
"2143",-8,2
"3143",-7,1
"4143",-7,1
"5143",-22,2
"7143",1,2
"8143",-9,0
"9143",-8,1
"10135",-3,2
"171",10,1
"254",15,2
"354",12,3
"454",14,2
"554",12,3
"754",4,1
"854",13,1
"954",0,1
"1150",-3,1
"2144",-10,2
"3144",-20,1
"4144",-6,2
"5144",-8,4
"7144",-6,1
"8144",-8,1
"9144",-6,0
"1051",-13,3
"172",3,1
"255",6,2
"355",2,1
"455",10,1
"555",7,1
"755",16,2
"855",-3,1
"955",7,5
"1052",7,1
"1151",-6,2
"2145",-9,4
"3145",0,1
"4145",-12,1
"5145",-3,5
"7145",-11,3
"8145",-2,0
"9145",-6,3
"10136",-6,0
"173",2,2
"256",3,1
"356",6,1
"456",3,2
"556",2,4
"756",-4,0
"856",-5,0
"956",-7,1
"1053",-10,0
"1152",8,2
"2146",-3,2
"3146",4,3
"4146",5,0
"5146",10,2
"7146",-2,1
"8146",-4,0
"9146",-3,0
"10137",-5,0
"174",-2,0
"257",-12,4
"357",-7,0
"457",-13,2
"557",-2,0
"757",9,2
"857",4,1
"957",5,1
"1054",-1,1
"1153",4,3
"1237",2,4
"2147",6,4
"3147",2,1
"4147",-1,3
"5147",5,3
"7147",1,2
"8147",-3,2
"9147",0,0
"10138",3,1
"175",5,2
"258",3,1
"358",1,0
"458",9,0
"558",12,2
"758",0,0
"858",-7,0
"958",2,0
"1154",-4,1
"2148",-10,0
"3148",-8,0
"4148",0,2
"5148",-6,1
"7148",-1,5
"8148",5,1
"9148",-4,1
"1055",3,0
"176",0,0
"259",1,1
"359",3,2
"459",7,2
"559",6,2
"759",-3,0
"859",0,1
"959",-14,0
"1056",-5,0
"1238",-13,2
"2149",-12,1
"3149",-2,3
"4149",5,4
"5149",4,3
"7149",16,0
"8149",-6,1
"9149",11,0
"10139",0,0
"1155",2,3
"177",-15,0
"260",-22,0
"360",-14,4
"460",-17,0
"560",-23,5
"760",-18,0
"860",-11,2
"960",-7,1
"1057",-18,2
"1317",10,0
"2150",16,1
"3150",17,2
"4150",20,1
"5150",14,0
"7150",13,0
"8150",17,0
"9150",-5,0
"10140",15,1
"1156",19,3
"1239",9,0
"178",-17,0
"261",-22,2
"361",-22,1
"461",-23,2
"561",-17,3
"761",-11,0
"861",-10,2
"961",-7,2
"1058",-11,3
"1240",2,2
"2151",17,1
"3151",20,1
"4151",19,1
"5151",12,4
"7151",16,0
"8151",7,1
"9151",6,0
"10141",24,0
"1157",17,1
"179",15,1
"262",15,2
"362",14,4
"462",14,2
"562",5,0
"762",9,0
"862",-8,3
