Rk,Player,brefid, Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,FT%,2P%,3P%,eFG%
141,Azura Stevens,steveaz01w,2019,23,DAL,WNBA,-0.1,9,1,144,19,53,18,44,1,9,4,5,15,32,5,5,10,9,12,43,0.358,0.8,0.409,0.111,0.368
142,Shao Ting,tingsh01w,2019,29,MIN,WNBA,-0.1,5,0,27,2,10,2,10,0,0,2,3,2,6,2,0,1,2,6,6,0.2,0.667,0.2,,0.2
143,Ashley Walker,walkeas01w,2019,32,LAS,WNBA,-0.1,3,0,22,1,11,1,6,0,5,0,0,2,3,3,1,0,0,4,2,0.091,,0.167,0,0.091
144,Rachel Banham,banhara01w,2019,25,CON,WNBA,-0.2,29,0,353,37,115,15,43,22,72,9,13,1,30,26,8,2,26,34,105,0.322,0.692,0.349,0.306,0.417
145,Maite Cazorla,cazorma01w,2019,22,ATL,WNBA,-0.2,31,1,477,29,93,16,38,13,55,21,24,2,21,49,18,1,29,22,92,0.312,0.875,0.421,0.236,0.382
146,Blake Dietrick,dietrbl01w,2019,25,SEA,WNBA,-0.2,17,1,106,1,10,1,4,0,6,4,6,1,10,16,3,2,10,14,6,0.1,0.667,0.25,0,0.1
147,Chloe Jackson,jacksch01w,2019,22,CHI,WNBA,-0.2,8,0,32,2,9,2,9,0,0,1,6,3,6,4,5,0,6,1,5,0.222,0.167,0.222,,0.222
148,Ji-Su Park,parkji01w,2019,20,LVA,WNBA,-0.2,25,0,163,8,37,8,36,0,1,4,9,10,27,10,5,4,7,23,20,0.216,0.444,0.222,0,0.216
149,Haley Peters,peterha01w,2019,26,ATL,WNBA,-0.2,4,0,26,0,7,0,7,0,0,2,2,1,2,1,1,1,4,3,2,0,1,0,,0
150,Avery Warley-Talbert,warleav01w,2019,32,NYL,WNBA,-0.2,3,0,35,1,5,1,5,0,0,1,2,3,7,0,0,2,4,7,3,0.2,0.5,0.2,,0.2
151,Tiffany Bias,biasti01w,2019,27,NYL,WNBA,-0.3,12,0,105,7,28,4,9,3,19,6,7,0,6,11,3,0,8,7,23,0.25,0.857,0.444,0.158,0.304
152,Yvonne Turner,turneyv01w,2019,31,PHO,WNBA,-0.3,29,14,595,59,172,33,93,26,79,43,49,8,80,67,18,2,59,37,187,0.343,0.878,0.355,0.329,0.419
153,Seimone Augustus,augusse01w,2019,35,MIN,WNBA,-0.4,12,7,156,20,64,18,52,2,12,3,4,2,7,15,5,1,12,5,45,0.313,0.75,0.346,0.167,0.328
154,Diana Taurasi,tauradi01w,2019,37,PHO,WNBA,-0.4,6,6,129,4,39,3,15,1,24,17,18,1,19,32,2,1,13,15,26,0.103,0.944,0.2,0.042,0.115
155,Alanna Smith,smithal01w,2019,22,PHO,WNBA,-0.5,18,0,134,8,41,6,23,2,18,1,2,11,35,4,5,5,8,18,19,0.195,0.5,0.261,0.111,0.22
156,Alex Bentley,bentlal01w,2019,28,ATL,WNBA,-1,29,4,634,99,323,67,187,32,136,30,35,10,54,86,21,9,44,56,260,0.307,0.857,0.358,0.235,0.356
157,Kaela Davis,daviska01w,2019,24,DAL,WNBA,-1.8,33,16,634,76,231,60,180,16,51,29,33,16,73,69,18,6,73,79,197,0.329,0.879,0.333,0.314,0.364
