"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"138","Stephanie Mavunga",2019,24,"IND",0.6,24,0,204,8.5,24,1,47,1.95833333333333,24,1,46,1.91666666666667,0,0,1,0.0416666666666667,12,0.5,17,0.708333333333333,35,1.45833333333333,21,0.875,56,2.33333333333333,4,0.166666666666667,6,0.25,7,0.291666666666667,10,0.416666666666667,39,1.625,60,2.5,0.511,0.706,0.522,0,0.511,-8.19333425897961,-0.278491607392873,42632
"139","Stephanie Talbot",2019,25,"MIN",1.1,33,10,561,17,57,1.72727272727273,154,4.66666666666667,26,0.787878787878788,59,1.78787878787879,31,0.939393939393939,95,2.87878787878788,27,0.818181818181818,31,0.939393939393939,61,1.84848484848485,18,0.545454545454545,79,2.39393939393939,41,1.24242424242424,30,0.909090909090909,9,0.272727272727273,42,1.27272727272727,37,1.12121212121212,172,5.21212121212121,0.37,0.871,0.441,0.326,0.471,-10.3607037254594,-2.263536405651,43311
"140","Sugar Rodgers",2019,29,"LVA",0.5,33,0,382,11.5757575757576,40,1.21212121212121,111,3.36363636363636,10,0.303030303030303,27,0.818181818181818,30,0.909090909090909,84,2.54545454545455,3,0.0909090909090909,5,0.151515151515152,44,1.33333333333333,4,0.121212121212121,48,1.45454545454545,39,1.18181818181818,13,0.393939393939394,12,0.363636363636364,27,0.818181818181818,37,1.12121212121212,113,3.42424242424242,0.36,0.6,0.37,0.357,0.495,0.700351849060125,0.07058891982494,102000
"141","Sydney Colson",2019,29,"LVA",1.2,33,0,379,11.4848484848485,37,1.12121212121212,84,2.54545454545455,28,0.848484848484849,64,1.93939393939394,9,0.272727272727273,20,0.606060606060606,27,0.818181818181818,33,1,21,0.636363636363636,2,0.0606060606060606,23,0.696969696969697,59,1.78787878787879,31,0.939393939393939,4,0.121212121212121,28,0.848484848484849,40,1.21212121212121,110,3.33333333333333,0.44,0.818,0.438,0.45,0.494,-2.1227869096237,-0.466261850592738,NA
"142","Sydney Wiese",2019,24,"LAS",0.8,32,16,659,20.59375,55,1.71875,143,4.46875,21,0.65625,50,1.5625,34,1.0625,93,2.90625,9,0.28125,9,0.28125,37,1.15625,5,0.15625,42,1.3125,57,1.78125,15,0.46875,8,0.25,32,1,27,0.84375,153,4.78125,0.385,1,0.42,0.366,0.503,7.97837317830388,2.16658694278391,47798
"143","Sylvia Fowles",2019,33,"MIN",5.3,34,34,1003,29.5,197,5.79411764705882,335,9.85294117647059,197,5.79411764705882,335,9.85294117647059,0,0,0,0,70,2.05882352941176,99,2.91176470588235,210,6.17647058823529,92,2.70588235294118,302,8.88235294117647,51,1.5,32,0.941176470588235,47,1.38235294117647,68,2,88,2.58823529411765,464,13.6470588235294,0.588,0.707,0.588,NA,0.588,-1.7117725125523,-0.245438550310094,113360
"144","Tamera Young",2019,32,"LVA",0.6,34,4,628,18.4705882352941,68,2,179,5.26470588235294,63,1.85294117647059,163,4.79411764705882,5,0.147058823529412,16,0.470588235294118,39,1.14705882352941,61,1.79411764705882,89,2.61764705882353,35,1.02941176470588,124,3.64705882352941,67,1.97058823529412,23,0.676470588235294,4,0.117647058823529,48,1.41176470588235,61,1.79411764705882,180,5.29411764705882,0.38,0.639,0.387,0.313,0.394,2.47827923637279,0.585919253146604,97600
"145","Tanisha Wright",2019,35,"NYL",0.6,31,17,613,19.7741935483871,54,1.74193548387097,130,4.19354838709677,40,1.29032258064516,92,2.96774193548387,14,0.451612903225806,38,1.2258064516129,25,0.806451612903226,31,1,65,2.09677419354839,21,0.67741935483871,86,2.7741935483871,126,4.06451612903226,32,1.03225806451613,9,0.290322580645161,57,1.83870967741935,67,2.16129032258065,147,4.74193548387097,0.415,0.806,0.435,0.368,0.469,-2.95182063404923,-0.501786256360732,94860
"146","Tayler Hill",2019,28,"DAL",0.1,4,2,49,12.25,4,1,13,3.25,3,0.75,7,1.75,1,0.25,6,1.5,4,1,5,1.25,3,0.75,2,0.5,5,1.25,3,0.75,1,0.25,0,0,0,0,4,1,13,3.25,0.308,0.8,0.429,0.167,0.346,7.50513359356814,0.489768494142744,115000
"147","Teaira McCowan",2019,22,"IND",3.9,34,16,752,22.1176470588235,119,3.5,230,6.76470588235294,119,3.5,230,6.76470588235294,0,0,0,0,103,3.02941176470588,150,4.41176470588235,197,5.79411764705882,108,3.17647058823529,305,8.97058823529412,8,0.235294117647059,20,0.588235294117647,44,1.29411764705882,44,1.29411764705882,110,3.23529411764706,341,10.0294117647059,0.517,0.687,0.517,NA,0.517,-11.0685072201049,-1.4076385213788,53537
