"","Player","Season","Age","Tm","WS","G","GS","MP","MPG","FG","FGPG","FGA","FGAPG","X2P","X2PPG","X2PA","X2PAPG","X3P","X3PPG","X3PA","X3PAPG","FT","FTPG","FTA","FTAPG","DRB","DRBPG","ORB","ORBPG","TRB","TRBPG","AST","APG","STL","SPG","BLK","BPG","TOV","TPG","PF","PFPG","PTS","PPG","FG.","FT.","X2P.","X3P.","eFG.","APM","RAPM","Salary"
"19","Asia Durr",2019,22,"NYL",0.4,18,15,480,26.667,71,3.944,152,8.444,56,3.111,101,5.611,15,0.833,51,2.833,18,1,22,1.222,24,1.333,5,0.278,29,1.611,31,1.722,10,0.556,7,0.389,21,1.167,34,1.889,175,9.722,0.467,0.818,0.554,0.294,0.516,1.434,0.209,53537
"20","Asia Taylor",2019,27,"TOT",0,12,0,96,8,10,0.833,28,2.333,10,0.833,26,2.167,0,0,2,0.167,6,0.5,8,0.667,13,1.083,8,0.667,21,1.75,8,0.667,2,0.167,1,0.083,7,0.583,10,0.833,26,2.167,0.357,0.75,0.385,0,0.357,13.328,1.352,NA
"21","Astou Ndour",2019,24,"CHI",1.3,21,11,368,17.524,58,2.762,118,5.619,44,2.095,85,4.048,14,0.667,33,1.571,13,0.619,18,0.857,58,2.762,30,1.429,88,4.19,14,0.667,10,0.476,14,0.667,14,0.667,36,1.714,143,6.81,0.492,0.722,0.518,0.424,0.551,-6.085,-1.016,65000
"22","Avery Warley-Talbert",2019,32,"NYL",-0.2,3,0,35,11.667,1,0.333,5,1.667,1,0.333,5,1.667,0,0,0,0,1,0.333,2,0.667,4,1.333,3,1,7,2.333,0,0,0,0,2,0.667,4,1.333,7,2.333,3,1,0.2,0.5,0.2,NA,0.2,-20.569,-1.065,NA
"23","Azura Stevens",2019,23,"DAL",-0.1,9,1,144,16,19,2.111,53,5.889,18,2,44,4.889,1,0.111,9,1,4,0.444,5,0.556,17,1.889,15,1.667,32,3.556,5,0.556,5,0.556,10,1.111,9,1,12,1.333,43,4.778,0.358,0.8,0.409,0.111,0.368,-7.69,-0.939,49611
"24","Betnijah Laney",2019,25,"IND",0.1,34,27,877,25.794,77,2.265,213,6.265,57,1.676,147,4.324,20,0.588,66,1.941,18,0.529,31,0.912,111,3.265,32,0.941,143,4.206,59,1.735,48,1.412,4,0.118,49,1.441,55,1.618,192,5.647,0.362,0.581,0.388,0.303,0.408,0.771,-0.571,72500
"25","Blake Dietrick",2019,25,"SEA",-0.2,17,1,106,6.235,1,0.059,10,0.588,1,0.059,4,0.235,0,0,6,0.353,4,0.235,6,0.353,9,0.529,1,0.059,10,0.588,16,0.941,3,0.176,2,0.118,10,0.588,14,0.824,6,0.353,0.1,0.667,0.25,0,0.1,-7.471,-0.902,41695
"26","Bria Hartley",2019,26,"NYL",0.3,24,18,545,22.708,79,3.292,210,8.75,55,2.292,137,5.708,24,1,73,3.042,53,2.208,66,2.75,59,2.458,18,0.75,77,3.208,76,3.167,18,0.75,1,0.042,50,2.083,55,2.292,235,9.792,0.376,0.803,0.401,0.329,0.433,-3.286,-0.605,102000
"27","Bria Holmes",2019,25,"CON",0.8,34,0,529,15.559,77,2.265,193,5.676,57,1.676,130,3.824,20,0.588,63,1.853,39,1.147,58,1.706,39,1.147,10,0.294,49,1.441,31,0.912,16,0.471,7,0.206,30,0.882,36,1.059,213,6.265,0.399,0.672,0.438,0.317,0.451,-3.491,-0.805,53290
"28","Briann January",2019,32,"PHO",0.5,32,26,852,26.625,71,2.219,182,5.688,40,1.25,100,3.125,31,0.969,82,2.562,36,1.125,43,1.344,36,1.125,6,0.188,42,1.312,103,3.219,26,0.812,3,0.094,54,1.688,67,2.094,209,6.531,0.39,0.837,0.4,0.378,0.475,6.376,1.608,117500
